질문ID,원본행,카테고리,도메인(원본),업무라벨,페이지/입력유형,질문유형(원본),중요도,예상질문,의도그룹,상세의도_주,상세의도_부,사용자역할,응답정책,추가질문필요,답변가능성,필수응답요소,검토필요,라벨확신도,라벨메모,비고/기대동작
Q018,7,업무질문,예금자보호제도,예금자보호제도,예금자보호한도(해외),비교형,하,미국의 예금보호한도는 얼마인가요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,국가별 한도 비교표
Q019,7,업무질문,예금자보호제도,예금자보호제도,예금자보호한도(해외),비교형,하,한국과 일본의 예금보호한도를 비교해주세요,INFORMATION,COMPARISON,AMOUNT_DEADLINE,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,국가별 한도 비교표
Q020,8,업무질문,예금보험금 안내,예금보험금 안내,신청시 구비서류,서류형,상,예금보험금 신청할 때 필요한 서류가 뭔가요?,ACTION,DOCUMENTS,DEFINITION,예금자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·미성년자)
Q021,8,업무질문,예금보험금 안내,예금보험금 안내,신청시 구비서류,서류형,상,미성년자 명의로 신청할 때는 어떤 서류가 필요하나요?,ACTION,DOCUMENTS,,미성년자/법정대리인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·미성년자)
Q022,8,업무질문,예금보험금 안내,예금보험금 안내,신청시 구비서류,서류형,상,대리인이 신청하려면 무엇을 준비해야 하나요?,ACTION,DOCUMENTS,,대리인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·미성년자)
Q023,9,업무질문,예금보험금 안내,예금보험금 안내,예금보험금 신청절차,절차형,상,예금보험금은 어떤 절차로 신청하나요?,ACTION,PROCEDURE,,예금자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,사고발생~지급까지
Q024,9,업무질문,예금보험금 안내,예금보험금 안내,예금보험금 신청절차,절차형,상,보험사고 발생 후 지급까지 얼마나 걸리나요?,INFORMATION,AMOUNT_DEADLINE,PROCEDURE,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,사고발생~지급까지
Q025,10,업무질문,예금보험금 안내,예금보험금 안내,예금보험금이란?,정의형,상,예금보험금이 뭔가요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,가지급금·개산지급금 정의
Q026,10,업무질문,예금보험금 안내,예금보험금 안내,예금보험금이란?,정의형,상,가지급금과 개산지급금은 어떻게 다른가요?,INFORMATION,COMPARISON,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,가지급금·개산지급금 정의
Q027,11,업무질문,예금보험금 안내,예금보험금 안내,보험금 지급대상 금융회사,"대상형, 조건형",중,우리은행이 파산했을 때 예금보험금 지급대상인지 어떻게 확인하나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"파산금융회사별 검색, 범위 넓음"
Q028,11,업무질문,예금보험금 안내,예금보험금 안내,보험금 지급대상 금융회사,"대상형, 조건형",중,특정 파산금융회사가 지급대상인지 검색할 수 있나요?,INFORMATION,ELIGIBILITY_CONDITION,STATUS_CHECK,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"파산금융회사별 검색, 범위 넓음"
Q029,12,업무질문,고객 미수령금 신청,고객 미수령금 신청,고객미수령금,"정의형, 절차형",상,미수령금이 뭔가요?,INFORMATION,DEFINITION,,미수령금 신청인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,정의 + 인터넷·방문 신청
Q030,12,업무질문,고객 미수령금 신청,고객 미수령금 신청,고객미수령금,"정의형, 절차형",상,미수령금은 인터넷으로 신청할 수 있나요?,ACTION,APPLICATION,,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,정의 + 인터넷·방문 신청
Q031,12,업무질문,고객 미수령금 신청,고객 미수령금 신청,고객미수령금,"정의형, 절차형",상,방문 신청은 어디서 하나요?,ACTION,CONTACT_VISIT,,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,정의 + 인터넷·방문 신청
Q032,13,업무질문,고객 미수령금 신청,고객 미수령금 신청,예금자 대상 전화문의 안내,"절차형, 예외형",중,명의가 변경된 경우 미수령금은 어떻게 문의하나요?,ACTION,CONTACT_VISIT,ELIGIBILITY_CONDITION,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,명의변경 시 문의 방법
Q033,13,업무질문,고객 미수령금 신청,고객 미수령금 신청,예금자 대상 전화문의 안내,"절차형, 예외형",중,미수령금 관련 전화상담은 어디로 하나요?,ACTION,CONTACT_VISIT,,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,명의변경 시 문의 방법
Q034,14,업무질문,고객 미수령금 신청,고객 미수령금 신청,안내(소개와 신청방법),"정의형, 절차형, 대상형",상,미수령금에는 어떤 종류가 있나요?,INFORMATION,DEFINITION,,미수령금 신청인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,미수령금 종류 + 신청방법 전반
Q035,14,업무질문,고객 미수령금 신청,고객 미수령금 신청,안내(소개와 신청방법),"정의형, 절차형, 대상형",상,온라인과 오프라인 신청 방법의 차이가 뭔가요?,INFORMATION,COMPARISON,DEFINITION,미수령금 신청인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,미수령금 종류 + 신청방법 전반
Q036,15,업무질문,고객 미수령금 신청,고객 미수령금 신청,상속인 금융거래 조회,"대상형, 절차형",중,돌아가신 부모님 명의의 미수령금을 자녀가 조회할 수 있나요?,STATUS,STATUS_CHECK,,상속인,STATUS_GUIDE,N,Y,조회 방법 + 조회 페이지 + 개인정보 접근 한계,N,상,,상속인(피상속인 명의) 대상 조회
Q037,15,업무질문,고객 미수령금 신청,고객 미수령금 신청,상속인 금융거래 조회,"대상형, 절차형",중,상속인 금융거래 조회는 어떻게 신청하나요?,ACTION,APPLICATION,,상속인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,상속인(피상속인 명의) 대상 조회
Q038,16,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원제도란,정의형,상,착오송금 반환지원 제도가 뭔가요?,INFORMATION,DEFINITION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,제도 취지·개요(영상 데이터)
Q039,16,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원제도란,정의형,상,예금보험공사가 왜 착오송금을 대신 찾아주나요?,INFORMATION,DEFINITION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,제도 취지·개요(영상 데이터)
Q040,17,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원절차,절차형,상,착오송금 반환지원은 어떤 절차로 진행되나요?,ACTION,PROCEDURE,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,5단계 절차
Q041,17,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원절차,절차형,상,신청부터 돈을 돌려받기까지 몇 단계인가요?,ACTION,PROCEDURE,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,5단계 절차
Q042,18,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 신청방법,절차형,상,착오송금 반환지원은 어디서 신청하나요?,ACTION,APPLICATION,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,인터넷·방문 접수처
Q043,18,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 신청방법,절차형,상,인터넷 신청과 방문 신청 중 뭐가 더 빠른가요?,ACTION,CONTACT_VISIT,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,Y,중,근거 데이터가 없으면 단정 금지,인터넷·방문 접수처
Q044,19,업무질문,착오송금 반환 신청,착오송금 반환 신청,FAQ 착오송금반환지원신청,"조건형, 예외형, 금액형",상,착오송금 얼마부터 반환지원 신청이 가능한가요?,INFORMATION,AMOUNT_DEADLINE,ELIGIBILITY_CONDITION,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,대상금액·기간·제외사유
Q045,19,업무질문,착오송금 반환 신청,착오송금 반환 신청,FAQ 착오송금반환지원신청,"조건형, 예외형, 금액형",상,신청 가능한 기간은 언제까지인가요?,INFORMATION,AMOUNT_DEADLINE,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,대상금액·기간·제외사유
Q046,19,업무질문,착오송금 반환 신청,착오송금 반환 신청,FAQ 착오송금반환지원신청,"조건형, 예외형, 금액형",상,반환지원을 받을 수 없는 경우는 어떤 경우인가요?,INFORMATION,ELIGIBILITY_CONDITION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,대상금액·기간·제외사유
Q047,20,업무질문,착오송금 반환 신청,착오송금 반환 신청,FAQ TOP 10,"정의형, 절차형, 조건형",상,착오송금 반환지원에 대해 가장 많이 묻는 질문이 뭔가요?,INFORMATION,DEFINITION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,Y,중,질문 범위가 넓어 대표 FAQ 선택 기준 필요 / 근거 데이터가 없으면 단정 금지,최다조회 질문 묶음 — 유형 혼재
Q048,20,업무질문,착오송금 반환 신청,착오송금 반환 신청,FAQ TOP 10,"정의형, 절차형, 조건형",상,자주 묻는 착오송금 질문 알려주세요,INFORMATION,DEFINITION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,Y,중,질문 범위가 넓어 대표 FAQ 선택 기준 필요 / 근거 데이터가 없으면 단정 금지,최다조회 질문 묶음 — 유형 혼재
Q049,21,업무질문,착오송금 반환 신청(수취인),착오송금 반환 신청,유의사항,"조건형, 절차형, 예외형",상,"착오송금을 잘못 받은 사람인데, 자진반환 기한이 있나요?",INFORMATION,AMOUNT_DEADLINE,,수취인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"자진반환기한, 이의제기, 환급절차"
Q050,21,업무질문,착오송금 반환 신청(수취인),착오송금 반환 신청,유의사항,"조건형, 절차형, 예외형",상,반환에 동의하지 않으면 어떻게 되나요?,INFORMATION,ELIGIBILITY_CONDITION,,수취인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"자진반환기한, 이의제기, 환급절차"
Q051,21,업무질문,착오송금 반환 신청(수취인),착오송금 반환 신청,유의사항,"조건형, 절차형, 예외형",상,이체수수료는 돌려받을 수 있나요?,INFORMATION,AMOUNT_DEADLINE,,수취인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"자진반환기한, 이의제기, 환급절차"
Q052,22,업무질문,착오송금 반환 신청(수취인),착오송금 반환 신청,구비서류안내,서류형,상,착오송금 수취인이 이의를 제기하려면 무슨 서류가 필요한가요?,ACTION,DOCUMENTS,,수취인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,이의제기서·환급신청서 서식
Q053,22,업무질문,착오송금 반환 신청(수취인),착오송금 반환 신청,구비서류안내,서류형,상,이체수수료 환급 신청서는 어디서 받나요?,ACTION,DOWNLOAD,AMOUNT_DEADLINE,수취인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,이의제기서·환급신청서 서식
Q054,23,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,구비서류안내,서류형,상,착오송금 반환지원 신청할 때 법인은 어떤 서류가 필요한가요?,ACTION,DOCUMENTS,,송금인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·법인)
Q055,23,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,구비서류안내,서류형,상,대리인이 신청할 때 구비서류가 다른가요?,INFORMATION,COMPARISON,DOCUMENTS,송금인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,신청인 유형별(본인·대리인·법인)
Q056,24,업무질문,착오송금 반환 신청,착오송금 반환 신청,반환지원절차(스토리텔링),절차형,중,착오송금 반환지원 절차를 쉽게 설명해주세요,ACTION,PROCEDURE,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"절차 페이지와 내용 중복, 대체 표현 확인용"
Q057,24,업무질문,착오송금 반환 신청,착오송금 반환 신청,반환지원절차(스토리텔링),절차형,중,신청하면 어떤 순서로 돈을 돌려받게 되나요?,ACTION,PROCEDURE,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"절차 페이지와 내용 중복, 대체 표현 확인용"
Q058,25,업무질문,착오송금 반환 신청,착오송금 반환 신청,관련법령 및 규정,정의형,하,착오송금 반환지원의 법적 근거가 뭔가요?,INFORMATION,LEGAL_BASIS,DEFINITION,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,법령 원문 — 인용 시 저작권/정확성 주의
Q059,25,업무질문,착오송금 반환 신청,착오송금 반환 신청,관련법령 및 규정,정의형,하,관련 규정을 어디서 볼 수 있나요?,INFORMATION,LEGAL_BASIS,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,법령 원문 — 인용 시 저작권/정확성 주의
Q060,26,업무질문,착오송금 반환 신청,착오송금 반환 신청,상황선택(분기화면),대상형,중,저는 잘못 보낸 사람인데 어디서 신청해야 하나요?,ACTION,APPLICATION,,송금인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,송금인/수취인 분기 인식 여부 검증용
Q061,26,업무질문,착오송금 반환 신청,착오송금 반환 신청,상황선택(분기화면),대상형,중,잘못 받은 사람 입장에서는 어떤 메뉴로 가야 하나요?,ACTION,PROCEDURE,,수취인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,송금인/수취인 분기 인식 여부 검증용
Q062,27,업무질문,착오송금 반환 신청,착오송금 반환 신청,방문접수안내,절차형,중,방문 접수는 어디서 하나요?,ACTION,CONTACT_VISIT,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,운영시간·본사 주소
Q063,27,업무질문,착오송금 반환 신청,착오송금 반환 신청,방문접수안내,절차형,중,본사 운영시간이 어떻게 되나요?,ACTION,CONTACT_VISIT,,일반/미지정,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,운영시간·본사 주소
Q064,28,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,유의사항,"조건형, 예외형, 금액형",상,얼마까지 착오송금 반환지원을 신청할 수 있나요?,INFORMATION,AMOUNT_DEADLINE,APPLICATION,송금인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,대상금액·기간·제외대상·비용률
Q065,28,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,유의사항,"조건형, 예외형, 금액형",상,신청 대상에서 제외되는 경우는 뭔가요?,INFORMATION,ELIGIBILITY_CONDITION,DEFINITION,송금인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,대상금액·기간·제외대상·비용률
Q066,28,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,유의사항,"조건형, 예외형, 금액형",상,비용은 어느 정도 차감되나요?,INFORMATION,AMOUNT_DEADLINE,,송금인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,대상금액·기간·제외대상·비용률
Q067,29,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,신청대상여부 확인,조건형,상,제가 반환지원 신청대상인지 어떻게 확인하나요?,ACTION,ELIGIBILITY_CONDITION,,송금인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,7개 체크리스트 자가진단
Q068,29,업무질문,착오송금 반환 신청(송금인),착오송금 반환 신청,신청대상여부 확인,조건형,상,신청대상 여부를 체크하는 항목이 몇 개인가요?,INFORMATION,ELIGIBILITY_CONDITION,,송금인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,7개 체크리스트 자가진단
Q069,30,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 신청대상,"금액형, 조건형",상,착오송금 신청 가능한 금액 범위가 어떻게 되나요?,INFORMATION,GENERAL_INFORMATION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"금액한도(5만~1억), 신청기한·제외사유"
Q070,30,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 신청대상,"금액형, 조건형",상,신청기한이 지나면 어떻게 되나요?,INFORMATION,AMOUNT_DEADLINE,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"금액한도(5만~1억), 신청기한·제외사유"
Q071,31,업무질문,채무조정 안내,채무조정 안내,채무조정제도,"정의형, 조건형, 서류형",상,채무조정 신청자격이 어떻게 되나요?,INFORMATION,ELIGIBILITY_CONDITION,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"신청자격, 불가사유, 구비서류"
Q072,31,업무질문,채무조정 안내,채무조정 안내,채무조정제도,"정의형, 조건형, 서류형",상,채무조정을 신청할 수 없는 경우는 뭔가요?,INFORMATION,ELIGIBILITY_CONDITION,DEFINITION,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"신청자격, 불가사유, 구비서류"
Q073,31,업무질문,채무조정 안내,채무조정 안내,채무조정제도,"정의형, 조건형, 서류형",상,채무조정 신청 시 필요한 서류가 뭔가요?,ACTION,DOCUMENTS,DEFINITION,채무자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"신청자격, 불가사유, 구비서류"
Q074,32,업무질문,채무조정 안내,채무조정 안내,채무정보 조회&상담신청,절차형,상,제가 파산금융회사에 채무가 있는지 온라인으로 확인할 수 있나요?,STATUS,STATUS_CHECK,,채무자,STATUS_GUIDE,N,Y,조회 방법 + 조회 페이지 + 개인정보 접근 한계,N,상,,온라인 채무확인·상담신청
Q075,32,업무질문,채무조정 안내,채무조정 안내,채무정보 조회&상담신청,절차형,상,채무조정 상담은 어떻게 신청하나요?,ACTION,APPLICATION,,채무자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,온라인 채무확인·상담신청
Q076,33,업무질문,채무조정 안내,채무조정 안내,채무조정(KR&C),"조건형, 서류형, 금액형, 비교형",상,채무조정으로 최대 얼마까지 감면받을 수 있나요?,INFORMATION,AMOUNT_DEADLINE,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"불가사유, 감면율(최대70~90%), 타기관 비교"
Q077,33,업무질문,채무조정 안내,채무조정 안내,채무조정(KR&C),"조건형, 서류형, 금액형, 비교형",상,주채무자와 보증채무자의 감면율이 다른가요?,INFORMATION,COMPARISON,AMOUNT_DEADLINE,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"불가사유, 감면율(최대70~90%), 타기관 비교"
Q078,33,업무질문,채무조정 안내,채무조정 안내,채무조정(KR&C),"조건형, 서류형, 금액형, 비교형",상,KR&C 채무조정과 신용회복위원회 채무조정은 뭐가 다른가요?,INFORMATION,COMPARISON,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"불가사유, 감면율(최대70~90%), 타기관 비교"
Q079,34,업무질문,채무조정 안내,채무조정 안내,신용회복 지원,"정의형, 대상형",중,신용회복위원회를 통한 지원은 어떤 건가요?,INFORMATION,DEFINITION,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,신용회복위원회 협약 채널
Q080,34,업무질문,채무조정 안내,채무조정 안내,신용회복 지원,"정의형, 대상형",중,예금보험공사 채무조정과 신용회복지원은 다른 건가요?,INFORMATION,COMPARISON,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,신용회복위원회 협약 채널
Q081,35,업무질문,채무조정 안내,채무조정 안내,파산면책,"정의형, 절차형",중,개인파산은 어떻게 신청하나요?,ACTION,APPLICATION,,채무자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,법원 개인파산 절차
Q082,35,업무질문,채무조정 안내,채무조정 안내,파산면책,"정의형, 절차형",중,파산면책을 받으면 채무가 모두 없어지나요?,INFORMATION,GENERAL_INFORMATION,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,법원 개인파산 절차
Q083,36,업무질문,채무조정 안내,채무조정 안내,개인회생,"정의형, 절차형",중,개인회생 절차는 어떻게 되나요?,ACTION,PROCEDURE,,채무자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,법원 개인회생(3~5년 분할)
