질문ID,원본행,카테고리,도메인(원본),업무라벨,페이지/입력유형,질문유형(원본),중요도,예상질문,의도그룹,상세의도_주,상세의도_부,사용자역할,응답정책,추가질문필요,답변가능성,필수응답요소,검토필요,라벨확신도,라벨메모,비고/기대동작,gold_business_function,gold_intent,gold_scenario,gold_document_ids,gold_section_titles,gold_chunk_ids,gold_source_urls,gold_answerable,gold_requires_clarification,gold_mapping_status,gold_review_required,gold_mapping_note
Q011,4,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,"대상형, 조건형",상,투자신탁 상품도 보호 대상인가요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,보호/비보호 상품 구분기준,deposit_protection,eligibility,"{""user_role"":""depositor""}","[""DP-004""]","[""투자 매매업자·투자 중개업자 비보호 금융상품"",""보험회사 비보호 금융상품""]","[""DP-004_chunk_005"",""DP-004_chunk_007""]","[""https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q012,4,업무질문,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,"대상형, 조건형",상,보호상품과 비보호상품은 어떻게 구분하나요?,INFORMATION,GENERAL_INFORMATION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,보호/비보호 상품 구분기준,deposit_protection,general_information,"{""user_role"":""depositor""}","[""DP-004""]","[""보험회사 비보호 금융상품"",""은행 비보호 금융상품""]","[""DP-004_chunk_007"",""DP-004_chunk_003""]","[""https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q013,5,업무질문,예금자보호제도,예금자보호제도,FAQ 미수령금통합신청(실내용은 예금보호),"조건형, 절차형, 예외형",중,계열 저축은행에 나눠 예금하면 보호한도가 각각 적용되나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"계열저축은행 분산예금, 영업정지 후 인출절차",deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-005""]","[""계열 저축은행에 분산하여 예금을 하였는데 각각 1억원까지 예금 보호가 되나요?""]","[""DP-005_chunk_004""]","[""https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q014,5,업무질문,예금자보호제도,예금자보호제도,FAQ 미수령금통합신청(실내용은 예금보호),"조건형, 절차형, 예외형",중,은행이 영업정지되면 예금은 어떻게 찾나요?,ACTION,PROCEDURE,,예금자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"계열저축은행 분산예금, 영업정지 후 인출절차",deposit_protection,procedure,"{""user_role"":""depositor""}","[""DP-005""]","[""영업정지 저축은행에서 발행한 후순위채권은 어떻게 되나요?"",""향후 영업정지된 저축은행의 진행사항은 어떻게 되나요?""]","[""DP-005_chunk_002"",""DP-005_chunk_009""]","[""https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q015,5,업무질문,예금자보호제도,예금자보호제도,FAQ 미수령금통합신청(실내용은 예금보호),"조건형, 절차형, 예외형",중,영업정지 기간 중에도 예금 인출이 가능한가요?,INFORMATION,AMOUNT_DEADLINE,PROCEDURE | ELIGIBILITY_CONDITION,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"계열저축은행 분산예금, 영업정지 후 인출절차",deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-005""]","[""현재 세금우대, 비과세저축으로 가입되어 있는데 다른 금융기관에서 적용받기 위해 세제혜택 배제신청이 가능한가요? 또한 가지급금을 받으면 세금우대, 비과세저축의 세제혜택은 없어지는 건가요?""]","[""DP-005_chunk_010""]","[""https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q016,6,업무질문,예금자보호제도,예금자보호제도,예금자보호제도 FAQ,"예외형, 정의형",중,2025년에 보호한도가 상향됐다는데 맞나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,시점 민감 질문 — 최신성 검증 필요,deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-006""]","[""예금보호한도 1억원은 언제부터 적용되었나요?"",""퇴직연금, 연금저축, 사고보험금에 대한 별도보호한도 1억원은 어떻게 적용되나요?""]","[""DP-006_chunk_000"",""DP-006_chunk_011""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q017,6,업무질문,예금자보호제도,예금자보호제도,예금자보호제도 FAQ,"예외형, 정의형",중,한도 상향은 언제부터 적용되나요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,시점 민감 질문 — 최신성 검증 필요,deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-006""]","[""예금보호한도 1억원은 언제부터 적용되었나요?""]","[""DP-006_chunk_000""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q018,7,업무질문,예금자보호제도,예금자보호제도,예금자보호한도(해외),비교형,하,미국의 예금보호한도는 얼마인가요?,INFORMATION,AMOUNT_DEADLINE,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,국가별 한도 비교표,deposit_protection,amount_or_deadline,"{""user_role"":""depositor""}","[""DP-007""]","[""예금자보호한도(해외)""]","[""DP-007_chunk_000"",""DP-007_chunk_001""]","[""https://www.kdic.or.kr/di/bzpblnt/selectPbcrPblntProtLmtsOvrs.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q019,7,업무질문,예금자보호제도,예금자보호제도,예금자보호한도(해외),비교형,하,한국과 일본의 예금보호한도를 비교해주세요,INFORMATION,COMPARISON,AMOUNT_DEADLINE,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,국가별 한도 비교표,deposit_protection,comparison,"{""user_role"":""depositor""}","[""DP-007""]","[""예금자보호한도(해외)""]","[""DP-007_chunk_000""]","[""https://www.kdic.or.kr/di/bzpblnt/selectPbcrPblntProtLmtsOvrs.do""]",TRUE,FALSE,retrieval_candidate_review,Y,질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요
Q020,8,업무질문,예금보험금 안내,예금보험금 안내,신청시 구비서류,서류형,상,예금보험금 신청할 때 필요한 서류가 뭔가요?,ACTION,DOCUMENTS,DEFINITION,예금자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·미성년자),deposit_insurance_payout,required_documents,"{""user_role"":""depositor""}","[""BI-001""]","[""예금자 본인이 찾을 경우"",""대리인이 찾을 경우"",""양식 다운로드""]","[""BI-001_chunk_000"",""BI-001_chunk_001"",""BI-001_chunk_006""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q021,8,업무질문,예금보험금 안내,예금보험금 안내,신청시 구비서류,서류형,상,미성년자 명의로 신청할 때는 어떤 서류가 필요하나요?,ACTION,DOCUMENTS,,미성년자/법정대리인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·미성년자),deposit_insurance_payout,required_documents,"{""user_role"":""minor_or_guardian""}","[""BI-001""]","[""예금자가 미성년자인 경우 : 본인이 아닌 친권자 혹은 후견인이 예금보험금 수령""]","[""BI-001_chunk_003""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q022,8,업무질문,예금보험금 안내,예금보험금 안내,신청시 구비서류,서류형,상,대리인이 신청하려면 무엇을 준비해야 하나요?,ACTION,DOCUMENTS,,대리인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,신청인 유형별(본인·대리인·미성년자),deposit_insurance_payout,required_documents,"{""user_role"":""representative""}","[""BI-001""]","[""대리인이 찾을 경우""]","[""BI-001_chunk_001""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q023,9,업무질문,예금보험금 안내,예금보험금 안내,예금보험금 신청절차,절차형,상,예금보험금은 어떤 절차로 신청하나요?,ACTION,PROCEDURE,,예금자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,사고발생~지급까지,deposit_insurance_payout,procedure,"{""user_role"":""depositor""}","[""BI-002""]","[""부보금융회사 보험사고 발생"",""공사 예금보험금 지급 공고 및 안내"",""예금자의 예금보험금 지급 신청""]","[""BI-002_chunk_000"",""BI-002_chunk_001"",""BI-002_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q024,9,업무질문,예금보험금 안내,예금보험금 안내,예금보험금 신청절차,절차형,상,보험사고 발생 후 지급까지 얼마나 걸리나요?,INFORMATION,AMOUNT_DEADLINE,PROCEDURE,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,사고발생~지급까지,deposit_insurance_payout,amount_or_deadline,"{""user_role"":""depositor""}","[""BI-002""]","[""예금자의 예금보험금 지급 신청""]","[""BI-002_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q025,10,업무질문,예금보험금 안내,예금보험금 안내,예금보험금이란?,정의형,상,예금보험금이 뭔가요?,INFORMATION,DEFINITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,가지급금·개산지급금 정의,deposit_insurance_payout,definition,"{""user_role"":""depositor""}","[""BI-003""]","[""예금보험금이란?""]","[""BI-003_chunk_001""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q026,10,업무질문,예금보험금 안내,예금보험금 안내,예금보험금이란?,정의형,상,가지급금과 개산지급금은 어떻게 다른가요?,INFORMATION,COMPARISON,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,가지급금·개산지급금 정의,deposit_insurance_payout,comparison,"{""user_role"":""depositor""}","[""BI-003""]","[""가지급금이란?"",""개산지급금이란?""]","[""BI-003_chunk_002"",""BI-003_chunk_003""]","[""https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q027,11,업무질문,예금보험금 안내,예금보험금 안내,보험금 지급대상 금융회사,"대상형, 조건형",중,우리은행이 파산했을 때 예금보험금 지급대상인지 어떻게 확인하나요?,INFORMATION,ELIGIBILITY_CONDITION,,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"파산금융회사별 검색, 범위 넓음",deposit_insurance_payout,eligibility,"{""user_role"":""depositor""}","[""BI-004""]",[],[],[],TRUE,FALSE,document_only_needs_review,Y,정답 문서는 특정했지만 질문과 정확히 대응하는 청크를 확정하기 어려움
Q028,11,업무질문,예금보험금 안내,예금보험금 안내,보험금 지급대상 금융회사,"대상형, 조건형",중,특정 파산금융회사가 지급대상인지 검색할 수 있나요?,INFORMATION,ELIGIBILITY_CONDITION,STATUS_CHECK,예금자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"파산금융회사별 검색, 범위 넓음",deposit_insurance_payout,eligibility,"{""user_role"":""depositor""}","[""BI-004""]",[],[],[],TRUE,FALSE,document_only_needs_review,Y,정답 문서는 특정했지만 질문과 정확히 대응하는 청크를 확정하기 어려움
Q029,12,업무질문,고객 미수령금 신청,고객 미수령금 신청,고객미수령금,"정의형, 절차형",상,미수령금이 뭔가요?,INFORMATION,DEFINITION,,미수령금 신청인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,정의 + 인터넷·방문 신청,unclaimed_funds,definition,"{""user_role"":""unclaimed_funds_claimant""}","[""UN-001""]","[""고객 미수령금이란?""]","[""UN-001_chunk_001""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q030,12,업무질문,고객 미수령금 신청,고객 미수령금 신청,고객미수령금,"정의형, 절차형",상,미수령금은 인터넷으로 신청할 수 있나요?,ACTION,APPLICATION,,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,정의 + 인터넷·방문 신청,unclaimed_funds,application,"{""user_role"":""unclaimed_funds_claimant"",""channel"":""online""}","[""UN-003""]","[""(온라인) 금융안심포털에서 미수령금통합신청""]","[""UN-003_chunk_006""]","[""https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q031,12,업무질문,고객 미수령금 신청,고객 미수령금 신청,고객미수령금,"정의형, 절차형",상,방문 신청은 어디서 하나요?,ACTION,CONTACT_VISIT,,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,정의 + 인터넷·방문 신청,unclaimed_funds,contact_or_visit,"{""user_role"":""unclaimed_funds_claimant"",""channel"":""visit""}","[""UN-001"",""UN-003""]","[""지급대행점 목록 및 방문신청시 구비 서류"",""(오프라인) 지급대행점 직접 방문""]","[""UN-001_chunk_004"",""UN-003_chunk_007""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do"",""https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q032,13,업무질문,고객 미수령금 신청,고객 미수령금 신청,예금자 대상 전화문의 안내,"절차형, 예외형",중,명의가 변경된 경우 미수령금은 어떻게 문의하나요?,ACTION,CONTACT_VISIT,ELIGIBILITY_CONDITION,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,명의변경 시 문의 방법,unclaimed_funds,contact_or_visit,"{""user_role"":""unclaimed_funds_claimant""}","[""UN-002""]","[""예금자 대상 전화문의 안내""]","[""UN-002_chunk_000""]","[""https://fins.kdic.or.kr/ua/aplygudn/DpstrTrgtTelQustGudn/selectScrn.do""]",TRUE,FALSE,single_chunk_document,N,상위 문서에 청크가 하나뿐임
Q033,13,업무질문,고객 미수령금 신청,고객 미수령금 신청,예금자 대상 전화문의 안내,"절차형, 예외형",중,미수령금 관련 전화상담은 어디로 하나요?,ACTION,CONTACT_VISIT,,미수령금 신청인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,명의변경 시 문의 방법,unclaimed_funds,contact_or_visit,"{""user_role"":""unclaimed_funds_claimant"",""channel"":""phone""}","[""UN-002""]","[""예금자 대상 전화문의 안내""]","[""UN-002_chunk_000""]","[""https://fins.kdic.or.kr/ua/aplygudn/DpstrTrgtTelQustGudn/selectScrn.do""]",TRUE,FALSE,single_chunk_document,N,상위 문서에 청크가 하나뿐임
Q034,14,업무질문,고객 미수령금 신청,고객 미수령금 신청,안내(소개와 신청방법),"정의형, 절차형, 대상형",상,미수령금에는 어떤 종류가 있나요?,INFORMATION,DEFINITION,,미수령금 신청인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,미수령금 종류 + 신청방법 전반,unclaimed_funds,definition,"{""user_role"":""unclaimed_funds_claimant""}","[""UN-003""]","[""예금보험금"",""개산지급금"",""정산금 (개산지급금 정산금)"",""가지급금"",""파산배당금""]","[""UN-003_chunk_001"",""UN-003_chunk_002"",""UN-003_chunk_003"",""UN-003_chunk_004"",""UN-003_chunk_005""]","[""https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do""]",TRUE,FALSE,multi_chunk_gold,N,페이지·섹션 구조를 기준으로 매핑
Q035,14,업무질문,고객 미수령금 신청,고객 미수령금 신청,안내(소개와 신청방법),"정의형, 절차형, 대상형",상,온라인과 오프라인 신청 방법의 차이가 뭔가요?,INFORMATION,COMPARISON,DEFINITION,미수령금 신청인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,미수령금 종류 + 신청방법 전반,unclaimed_funds,comparison,"{""user_role"":""unclaimed_funds_claimant"",""channel"":""online""}","[""UN-003""]","[""(온라인) 금융안심포털에서 미수령금통합신청"",""(오프라인) 지급대행점 직접 방문""]","[""UN-003_chunk_006"",""UN-003_chunk_007""]","[""https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q036,15,업무질문,고객 미수령금 신청,고객 미수령금 신청,상속인 금융거래 조회,"대상형, 절차형",중,돌아가신 부모님 명의의 미수령금을 자녀가 조회할 수 있나요?,STATUS,STATUS_CHECK,,상속인,STATUS_GUIDE,N,Y,조회 방법 + 조회 페이지 + 개인정보 접근 한계,N,상,,상속인(피상속인 명의) 대상 조회,unclaimed_funds,status_lookup,"{""user_role"":""heir""}","[""UN-004""]","[""상속인 금융거래 조회서비스란?"",""상속인 미수령금 조회결과 안내""]","[""UN-004_chunk_000"",""UN-004_chunk_002""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystHrpeHistInq/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q037,15,업무질문,고객 미수령금 신청,고객 미수령금 신청,상속인 금융거래 조회,"대상형, 절차형",중,상속인 금융거래 조회는 어떻게 신청하나요?,ACTION,APPLICATION,,상속인,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,상속인(피상속인 명의) 대상 조회,unclaimed_funds,application,"{""user_role"":""heir""}","[""UN-004""]","[""접수처""]","[""UN-004_chunk_001""]","[""https://www.kdic.or.kr/sp/dpstrprot/ProtSystHrpeHistInq/selectScrn.do""]",TRUE,FALSE,direct_metadata_match,N,페이지·섹션 구조를 기준으로 매핑
Q038,16,업무질문,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원제도란,정의형,상,착오송금 반환지원 제도가 뭔가요?,INFORMATION,DEFINITION,,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,제도 취지·개요(영상 데이터),mistaken_transfer,definition,{},"[""MT-001""]","[""제도 소개 안내영상""]","[""MT-001_chunk_000""]","[""https://www.kdic.or.kr/sp/kmrs/kmrsItrd/selectScrn.do""]",TRUE,FALSE,single_chunk_document,N,상위 문서에 청크가 하나뿐임
