질문ID	도메인(원본)	도메인(원본)	gold_source_urls	질문 복잡도	중요도	예상질문	의도그룹	상세의도_주	사용자역할	gold_business_function	gold_intent	gold_scenario	gold_document_ids	gold_section_titles	gold_chunk_ids	gold_answerable	gold_requires_clarification	gold_mapping_status	gold_review_required	gold_mapping_note	gold_answerable_status	gold_review_status	응답정책	추가질문필요	답변가능성	필수응답요소	라벨메모	비고/기대동작	gold_ambiguity_status	gold_expected_action	gold_clarification_question	gold_clarification_options	선택의도	정답의도	gold_evidence_requirement	gold_primary_chunk_ids	gold_supporting_chunk_ids	multi_chunk_required
Q017	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do"]	L1_single_fact	중	한도 상향은 언제부터 적용되나요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-006"]	["예금보호한도 1억원은 언제부터 적용되었나요?"]	["DP-006_chunk_000"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		시점 민감 질문 ? 최신성 검증 필요	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-006_chunk_000"]	[]	N
Q018	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/di/bzpblnt/selectPbcrPblntProtLmtsOvrs.do"]	L2_multi_fact	하	미국의 예금보호한도는 얼마인가요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_protection	amount_or_deadline	{"user_role":"depositor"}	["DP-007"]	["예금자보호한도(해외)"]	["DP-007_chunk_000","DP-007_chunk_001"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		국가별 한도 비교표	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-007_chunk_000"]	["DP-007_chunk_001"]	N
Q019	예금자보호제도	예금자보호제도	["https://www.kdic.or.kr/di/bzpblnt/selectPbcrPblntProtLmtsOvrs.do"]	L2_multi_fact	하	한국과 일본의 예금보호한도를 비교해주세요	INFORMATION	COMPARISON	예금자	deposit_protection	comparison	{"user_role":"depositor"}	["DP-007"]	["예금자보호한도(해외)"]	["DP-007_chunk_000"]	TRUE	FALSE	retrieval_candidate_review	Y	질문·섹션·본문 단어 중첩으로 후보를 선정했으므로 팀 검수 필요	answerable	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		국가별 한도 비교표	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["DP-007_chunk_000"]	[]	N
Q020	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L2_multi_fact	상	예금보험금 신청할 때 필요한 서류가 뭔가요?	ACTION	DOCUMENTS	예금자	deposit_insurance_payout	required_documents	{"user_role":"depositor"}	["BI-001"]	["예금자 본인이 찾을 경우","대리인이 찾을 경우","양식 다운로드"]	["BI-001_chunk_000","BI-001_chunk_001","BI-001_chunk_006"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	ACTION_GUIDE	N	Y	절차 + 필요 서류 + 실행/신청 링크 + 출처		신청인 유형별(본인·대리인·미성년자)	clear	answer		[]	신청처리	신청처리	ALL	["BI-001_chunk_000", "BI-001_chunk_001", "BI-001_chunk_006"]	[]	Y
Q021	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L3_conditional	상	미성년자 명의로 신청할 때는 어떤 서류가 필요하나요?	ACTION	DOCUMENTS	미성년자/법정대리인	deposit_insurance_payout	required_documents	{"user_role":"minor_or_guardian"}	["BI-001"]	["예금자가 미성년자인 경우 : 본인이 아닌 친권자 혹은 후견인이 예금보험금 수령"]	["BI-001_chunk_003"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	ACTION_GUIDE	N	Y	절차 + 필요 서류 + 실행/신청 링크 + 출처		신청인 유형별(본인·대리인·미성년자)	clear	answer		[]	신청처리	신청처리	PRIMARY_ONLY	["BI-001_chunk_003"]	[]	N
Q022	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L3_conditional	상	대리인이 신청하려면 무엇을 준비해야 하나요?	ACTION	DOCUMENTS	대리인	deposit_insurance_payout	required_documents	{"user_role":"representative"}	["BI-001"]	["대리인이 찾을 경우"]	["BI-001_chunk_001"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	ACTION_GUIDE	N	Y	절차 + 필요 서류 + 실행/신청 링크 + 출처		신청인 유형별(본인·대리인·미성년자)	clear	answer		[]	신청처리	신청처리	PRIMARY_ONLY	["BI-001_chunk_001"]	[]	N
Q023	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do"]	L2_multi_fact	상	예금보험금은 어떤 절차로 신청하나요?	ACTION	PROCEDURE	예금자	deposit_insurance_payout	procedure	{"user_role":"depositor"}	["BI-002"]	["부보금융회사 보험사고 발생","공사 예금보험금 지급 공고 및 안내","예금자의 예금보험금 지급 신청"]	["BI-002_chunk_000","BI-002_chunk_001","BI-002_chunk_002"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	ACTION_GUIDE	N	Y	절차 + 필요 서류 + 실행/신청 링크 + 출처		사고발생~지급까지	clear	answer		[]	신청처리	신청처리	ALL	["BI-002_chunk_000","BI-002_chunk_001","BI-002_chunk_002"]	[]	Y
Q024	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do"]	L1_single_fact	상	보험사고 발생 후 지급까지 얼마나 걸리나요?	INFORMATION	AMOUNT_DEADLINE	예금자	deposit_insurance_payout	amount_or_deadline	{"user_role":"depositor"}	["BI-002"]	["예금자의 예금보험금 지급 신청"]	["BI-002_chunk_002"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		사고발생~지급까지	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["BI-002_chunk_002"]	[]	N
Q025	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do"]	L1_single_fact	상	예금보험금이 뭔가요?	INFORMATION	DEFINITION	예금자	deposit_insurance_payout	definition	{"user_role":"depositor"}	["BI-003"]	["예금보험금이란?"]	["BI-003_chunk_001"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		가지급금·개산지급금 정의	clear	answer		[]	정보안내	정보안내	PRIMARY_ONLY	["BI-003_chunk_001"]	[]	N
Q026	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do"]	L2_multi_fact	상	가지급금과 개산지급금은 어떻게 다른가요?	INFORMATION	COMPARISON	예금자	deposit_insurance_payout	comparison	{"user_role":"depositor"}	["BI-003"]	["가지급금이란?","개산지급금이란?"]	["BI-003_chunk_002","BI-003_chunk_003"]	TRUE	FALSE	direct_metadata_match	N	페이지·섹션 구조를 기준으로 매핑	answerable	auto_approved	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		가지급금·개산지급금 정의	clear	answer		[]	정보안내	정보안내	ALL	["BI-003_chunk_002", "BI-003_chunk_003"]	[]	Y
Q027	예금보험금	예금보험금	[]	L3_conditional	중	우리은행이 파산했을 때 예금보험금 지급대상인지 어떻게 확인하나요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_insurance_payout	eligibility	{"user_role":"depositor"}	["BI-003","BI-004"]	["인허가취소 · 해산 · 파산의 경우(2종 보험사고)","예금보험금 지급대상 금융회사"]	["BI-003_chunk_006","BI-004_chunk_000"]	TRUE	FALSE	document_only_needs_review	Y	정답 문서는 특정했지만 질문과 정확히 대응하는 청크를 확정하기 어려움	insufficient_evidence	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		파산금융회사별 검색, 범위 넓음	clear	answer_with_limitation		[]	정보안내	정보안내	PRIMARY_PLUS_SUPPORT	["BI-004_chunk_000"]	["BI-003_chunk_006"]	Y
Q028	예금보험금	예금보험금	[]	L2_multi_fact	중	특정 파산금융회사가 지급대상인지 검색할 수 있나요?	INFORMATION	ELIGIBILITY_CONDITION	예금자	deposit_insurance_payout	eligibility	{"user_role":"depositor"}	["BI-004"]	["예금보험금 지급대상 금융회사"]	["BI-004_chunk_000"]	TRUE	FALSE	document_only_needs_review	Y	정답 문서는 특정했지만 질문과 정확히 대응하는 청크를 확정하기 어려움	insufficient_evidence	pending_review	INFORMATION_ANSWER	N	Y	근거 기반 정보 + 출처 URL		파산금융회사별 검색, 범위 넓음	clear	answer_with_limitation		[]	정보안내	정보안내	PRIMARY_ONLY	["BI-004_chunk_000"]	[]	N
Q029	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do"]	L4_multi_turn	상	은행이 문을 닫았다는데 제 돈 찾으려면 뭐부터 해야 해요?	CLARIFICATION	AMBIGUOUS	일반/미지정	deposit_insurance_payout	procedure	{}	["BI-002"]	["부보금융회사 보험사고 발생","공사 예금보험금 지급 공고 및 안내","예금자의 예금보험금 지급 신청"]	["BI-002_chunk_000","BI-002_chunk_001","BI-002_chunk_002"]	TRUE	TRUE	direct_metadata_match			needs_clarification		ASK_CLARIFY						needs_clarification	ask_clarification	현재 확인하려는 내용이 지급 대상 여부, 신청 방법, 필요 서류 중 무엇인가요?	["지급 대상 여부", "신청 방법", "필요 서류", "지급 시기"]	미선택	미선택	ALL	["BI-002_chunk_000","BI-002_chunk_001","BI-002_chunk_002"]	[]	Y
Q030	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L4_multi_turn	상	지급 안내를 받았는데 그냥 기다리면 되는 건가요?	ACTION	PROCEDURE	예금자	deposit_insurance_payout	procedure	{"user_role":"depositor"}	["BI-002"]	["공사 예금보험금 지급 공고 및 안내","예금자의 예금보험금 지급 신청"]	["BI-002_chunk_001","BI-002_chunk_002"]	TRUE	TRUE	direct_metadata_match			needs_clarification		ACTION_GUIDE				고객센터 문의 필요 (un-002_chunk_000)		needs_clarification	ask_clarification	안내받은 지급 항목과 현재 진행하려는 절차를 확인해 주세요.	["예금보험금 신청", "개산지급금 신청", "지급 상태 확인", "안내문 내용 확인"]	신청처리	신청처리	PRIMARY_PLUS_SUPPORT	["BI-002_chunk_002"]	["BI-002_chunk_001"]	Y
Q031	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L4_multi_turn	상	보험금 신청하려는데 신분증만 가져가면 되나요?	ACTION	DOCUMENTS	일반/미지정	deposit_insurance_payout	required_documents	{}	[]	[]	[]	FALSE	TRUE	direct_metadata_match			needs_clarification		ACTION_GUIDE						needs_clarification	ask_clarification	본인이 직접 신청하는지, 대리인 또는 상속인이 신청하는지 알려주세요.	["본인 신청", "대리인 신청", "상속인 신청"]	신청처리	신청처리		[]	[]	N
Q032	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L4_multi_turn	상	제가 직접 못 가는데 가족이 대신 받아도 되나요?	ACTION	DOCUMENTS	대리인	deposit_insurance_payout	required_documents	{"user_role":"representative"}	["BI-001"]	["대리인이 찾을 경우","양식 다운로드"]	["BI-001_chunk_001","BI-001_chunk_006"]	TRUE	TRUE	direct_metadata_match			needs_clarification		ACTION_GUIDE						needs_clarification	ask_clarification	신청 대상자와 대신 방문하는 가족의 관계 및 위임 여부를 알려주세요.	["배우자", "직계가족", "기타 대리인", "상속인"]	신청처리	신청처리	PRIMARY_PLUS_SUPPORT	["BI-001_chunk_001"]	["BI-001_chunk_006"]	Y
Q033	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L3_conditional	상	아이 통장에 있는 돈은 부모가 대신 신청할 수 있나요?	ACTION	DOCUMENTS	미성년자/법정대리인	deposit_insurance_payout	required_documents	{"user_role":"minor_or_guardian"}	["BI-001"]	["예금자가 미성년자인 경우 : 본인이 아닌 친권자 혹은 후견인이 예금보험금 수령"]	["BI-001_chunk_003"]	TRUE	FALSE	direct_metadata_match			answerable		ACTION_GUIDE						clear	answer		[]	신청처리	신청처리	PRIMARY_ONLY	["BI-001_chunk_003"]	[]	N
Q034	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L4_multi_turn	상	돌아가신 가족의 예금보험금은 누가 신청해야 하나요?	ACTION	DOCUMENTS	상속인	deposit_insurance_payout	required_documents	{"user_role":"heir"}	["BI-001"]	["예금자가 사망한 경우"]	["BI-001_chunk_004"]	TRUE	TRUE	direct_metadata_match			needs_clarification		ACTION_GUIDE						needs_clarification	ask_clarification	신청하려는 분이 상속인인지, 상속인을 대신하는 대리인인지 알려주세요.	["상속인 본인", "상속인의 대리인", "법정대리인"]	신청처리	신청처리		["BI-001_chunk_004"]	[]	N
Q035	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do"]	L3_conditional	중	지금 해외에 있는데 보험금을 신청할 수 있나요?	ACTION	DOCUMENTS	예금자	deposit_insurance_payout	required_documents	{"user_role":"depositor"}	["BI-001"]	["예금자가 국외거주 외국인, 유학생, 상사주재원인 경우"]	["BI-001_chunk_005"]	TRUE	FALSE	direct_metadata_match			answerable		ACTION_GUIDE						clear	answer		[]	신청처리	신청처리		["BI-001_chunk_005"]	[]	N
Q036	예금보험금	예금보험금	["https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do"]	L3_conditional	상	신청은 인터넷으로 하나요, 직접 방문해야 하나요?	ACTION	PROCEDURE	예금자	deposit_insurance_payout	procedure	{"user_role":"depositor"}	["BI-002","BI-003"]	["예금자의 예금보험금 지급 신청","신청안내"]	["BI-002_chunk_002","BI-003_chunk_008"]	TRUE	FALSE	direct_metadata_match			answerable		ACTION_GUIDE						clear	answer		[]	신청처리	신청처리	ALL	["BI-002_chunk_002", "BI-003_chunk_008"]	[]	Y
